日期,收付手段,金额,收付类型,类型明细,备注,yyyymm
2020/4/30 00:00,账务处理,1358.4,文娱游购开支,饮食游乐费,平账,202004
2020/4/30 00:00,账务处理,635.99,文娱游购开支,日常购物费,平账,202004
2020/4/30 00:00,账务处理,335.3857328,财务费用开支,金融利息支出,平账,202004
2020/5/31 00:00,账务处理,2001.13,其他收入,父母资助,平账,202005
2020/5/31 00:00,账务处理,0,生活必要开支,伙食费,平账,202005
2020/5/31 00:00,账务处理,0,生活必要开支,其他必要家用,平账,202005
2020/5/31 00:00,账务处理,906.86,文娱游购开支,饮食游乐费,平账,202005
2020/5/31 00:00,账务处理,606.47,文娱游购开支,日常购物费,平账,202005
2020/5/31 00:00,账务处理,337,财务费用开支,金融利息支出,平账,202005
2020/5/31 00:00,账务处理,87.2,其他必要开支,人情费,平账,202005
2020/6/30 00:00,账务处理,2750,其他收入,父母资助,平账,202006
2020/6/30 00:00,账务处理,0,生活必要开支,伙食费,平账,202006
2020/6/30 00:00,账务处理,30,生活必要开支,其他必要家用,平账,202006
2020/6/30 00:00,账务处理,1076.9,文娱游购开支,饮食游乐费,平账,202006
2020/6/30 00:00,账务处理,464.9,文娱游购开支,日常购物费,平账,202006
2020/6/30 00:00,账务处理,415,财务费用开支,金融利息支出,平账,202006
2020/6/30 00:00,账务处理,293.5,其他必要开支,人情费,平账,202006
2020/7/31 00:00,账务处理,2924.3,其他收入,父母资助,平账,202007
2020/7/31 00:00,账务处理,44.9,生活必要开支,伙食费,平账,202007
2020/7/31 00:00,账务处理,184.4,生活必要开支,其他必要家用,平账,202007
2020/7/31 00:00,账务处理,953.81,文娱游购开支,饮食游乐费,平账,202007
2020/7/31 00:00,账务处理,0,文娱游购开支,大件购置费,平账,202007
2020/7/31 00:00,账务处理,417,财务费用开支,金融利息支出,平账,202007
2020/8/31 00:00,账务处理,2004.6,其他收入,父母资助,平账,202008
2020/8/31 00:00,账务处理,75,生活必要开支,伙食费,平账,202008
2020/8/31 00:00,账务处理,12,生活必要开支,其他必要家用,平账,202008
2020/8/31 00:00,账务处理,2776.31,文娱游购开支,饮食游乐费,平账,202008
2020/8/31 00:00,账务处理,763.16,文娱游购开支,大件购置费,平账,202008
2020/8/31 00:00,账务处理,325,财务费用开支,金融利息支出,平账,202008
2020/9/30 00:00,账务处理,2001.62,其他收入,父母资助,平账,202009
2020/9/30 00:00,账务处理,940.86,生活必要开支,伙食费,平账,202009
2020/9/30 00:00,账务处理,354.13,生活必要开支,其他必要家用,平账,202009
2020/9/30 00:00,账务处理,989.44,文娱游购开支,饮食游乐费,平账,202009
2020/9/30 00:00,账务处理,2154.32,文娱游购开支,大件购置费,平账,202009
2020/9/30 00:00,账务处理,135,投资自身开支,教育费,平账,202009
2020/9/30 00:00,账务处理,325.1600709,财务费用开支,金融利息支出,平账,202009
2020/9/30 00:00,账务处理,1000,其他必要开支,父母亲人赡养费,给老爸的开支,202009
2020/10/31 00:00,账务处理,2002.87,其他收入,父母资助,平账,202010
2020/10/31 00:00,账务处理,878.49,生活必要开支,伙食费,平账,202010
2020/10/31 00:00,账务处理,441,生活必要开支,其他必要家用,平账,202010
2020/10/31 00:00,账务处理,813,文娱游购开支,饮食游乐费,平账,202010
2020/10/31 00:00,账务处理,7780.58,文娱游购开支,大件购置费,iPhone12,202010
2020/10/31 00:00,账务处理,244,投资自身开支,教育费,平账,202010
2020/10/31 00:00,账务处理,451,财务费用开支,金融利息支出,平账,202010
2020/11/1 00:00,账务处理,620.2,财务费用开支,金融利息支出,本月利息支出,202011
2020/11/25 00:00,账务处理,4823.11,资产类支出,应收账款,奶奶治疗费用入账,202011
2020/11/12 00:00,账务处理,79,资产类支出,应收账款,帮秦海朝买车票,202011
2020/11/9 00:00,账务处理,2000,其他收入,父母资助,0,202011
2020/11/25 00:00,账务处理,2056,文娱游购开支,饮食游乐费,0,202011
2020/11/12 00:00,账务处理,786,文娱游购开支,饮食游乐费,0,202011
2020/11/9 00:00,账务处理,214,生活必要开支,伙食费,0,202011
2020/12/1 00:00,账务处理,155.1294222,财务费用开支,金融利息支出,本月利息支出(1/4),202012
2020/12/1 00:00,账务处理,8,生活必要开支,伙食费,林玉米粉,202012
2020/12/1 00:00,账务处理,12,文娱游购开支,日常购物费,网易云音乐会员,202012
2020/12/3 00:00,账务处理,44.6,生活必要开支,伙食费,面条、鸡蛋、花蛤,202012
2020/12/2 00:00,账务处理,122.8,负债类减记,账单还款,花呗还款,202012
2020/12/1 00:00,账务处理,8.25,负债类减记,银行借款还款,借呗还款,202012
2020/12/3 00:00,账务处理,1006.25,其他收入,其他收入,广发银行信用卡账单退款（Apple Care）,202012
2020/12/4 00:00,账务处理,16,其他收入,其他收入,分期乐羊毛,202012
2020/12/4 00:00,账务处理,1,负债类增记,银行借款,乐花卡增记,202012
2020/12/4 00:00,账务处理,10000,负债类增记,银行借款,分期乐增记,202012
2020/12/4 00:00,账务处理,510.74,负债类减记,银行借款还款,花呗还款,202012
2020/12/4 00:00,账务处理,500.82,负债类减记,银行借款还款,借呗还款,202012
2020/12/4 00:00,账务处理,97.76,负债类减记,银行借款还款,花呗还款,202012
2020/12/4 00:00,账务处理,4175.73,负债类减记,银行借款还款,美团生活费还款,202012
2020/12/4 00:00,账务处理,1762.42,负债类减记,银行借款还款,分期乐还款,202012
2020/12/4 00:00,账务处理,571.14,负债类减记,账单还款,信用卡还款,202012
2020/12/4 00:00,账务处理,926.72,负债类减记,银行借款还款,花呗还款,202012
2020/12/4 00:00,账务处理,610.06,负债类减记,银行借款还款,花呗还款,202012
2020/12/4 00:00,账务处理,1806.26,负债类减记,银行借款还款,网商贷还款,202012
2020/12/4 00:00,账务处理,39.9,资产类支出,应收账款,奶奶腹带,202012
2020/12/5 00:00,账务处理,10.47,生活必要开支,伙食费,皮蛋、龙眼+橘子,202012
2020/12/5 00:00,账务处理,72.5,投资自身开支,教育费,桂林往返车票,202012
2020/12/28 00:00,账务处理,54,投资自身开支,教育费,考试打车费用（预支）（已抵扣）,202012
2020/12/5 00:00,账务处理,1.5,文娱游购开支,饮食游乐费,给顺利买了一串炸香肠,202012
2020/12/6 00:00,账务处理,50,生活必要开支,交通通信费,联通自动缴费50元,202012
2020/12/6 00:00,账务处理,0.05,财务费用开支,金融利息支出,15元乐花卡提前还款,202012
2020/12/6 00:00,账务处理,112,投资自身开支,教育费,2021年初级会计职称考试报名费，计入2021年1月的消费中,202012
2020/12/8 00:00,账务处理,155.1294222,财务费用开支,金融利息支出,本月利息支出(2/4),202012
2020/12/9 00:00,账务处理,20,文娱游购开支,饮食游乐费,两碗螺蛳粉,202012
2020/12/9 00:00,账务处理,48,资产类支出,应收账款,秦海朝桂林车票,202012
2020/12/9 00:00,账务处理,0,文娱游购开支,饮食游乐费,买了两块原味鸡（用的9月份买的券）,202012
2020/12/9 00:00,账务处理,13,资产类支出,应收账款,奶奶药品,202012
2020/12/9 00:00,账务处理,13.5,资产类支出,应收账款,奶奶药品,202012
2020/12/10 00:00,账务处理,-127,资产类支出,应收账款,老哥还款（1209、1112两次车票钱）,202012
2020/12/11 00:00,账务处理,23.86,生活必要开支,伙食费,多多买菜，买了鸡蛋、西兰花、土豆和毛豆,202012
2020/12/11 00:00,账务处理,10,生活必要开支,伙食费,螺蛳粉,202012
2020/12/12 00:00,账务处理,110,生活必要开支,其他必要家用,煤气费,202012
2020/12/6 00:00,账务处理,-112,投资自身开支,教育费,初会考试费摊销,202012
2020/12/12 00:00,账务处理,2000,其他收入,父母资助,妈妈给的12月份生活费,202012
2020/12/12 00:00,账务处理,2,财务费用开支,金融手续费与罚款,微信提现2000元，手续费两块,202012
2020/12/12 00:00,账务处理,429.41,负债类减记,银行借款还款,招联12月账单还款,202012
2020/12/12 00:00,账务处理,1647,负债类减记,银行借款还款,网商贷还款,202012
2020/12/14 00:00,账务处理,2.5,生活必要开支,伙食费,一包盐,202012
2020/12/15 00:00,账务处理,43.7,文娱游购开支,饮食游乐费,16日和浪浪去看电影,202012
2020/12/15 00:00,账务处理,155.1294222,财务费用开支,金融利息支出,本月利息支出(3/4),202012
2020/12/16 00:00,账务处理,79,资产类支出,应收账款,老哥去南宁车票,202012
2020/12/16 00:00,账务处理,54.36,生活必要开支,伙食费,三斤鸡腿，两斤巴沙鱼,202012
2020/12/16 00:00,账务处理,28,生活必要开支,必要着装费,剪头发,202012
2020/12/16 00:00,账务处理,10,文娱游购开支,饮食游乐费,买了两杯奶茶给浪浪,202012
2020/12/17 00:00,账务处理,-10,文娱游购开支,饮食游乐费,浪浪发了50块红包，我还给他40，冲抵娱乐费用,202012
2020/12/20 00:00,账务处理,65,生活必要开支,伙食费,鸡腿、卤水、鸡蛋、榨菜、咸鸭蛋,202012
2020/12/22 00:00,账务处理,155.1294222,财务费用开支,金融利息支出,本月利息支出(4/4),202012
2020/12/25 00:00,账务处理,15,生活必要开支,交通通信费,考试交通费（预支）（已扣除）,202012
2020/12/21 00:00,账务处理,79,资产类支出,应收账款,老哥南宁回柳车票,202012
2020/12/21 00:00,账务处理,-79,资产类支出,应收账款,老哥还款,202012
2020/12/21 00:00,账务处理,77.47,负债类减记,银行借款还款,网商贷还款,202012
2020/12/21 00:00,账务处理,9.4,其他必要开支,人情费,去看爷爷奶奶买了9.5元香蕉,202012
2020/12/21 00:00,账务处理,12.89,文娱游购开支,饮食游乐费,两杯奶茶,202012
2020/12/21 00:00,账务处理,-13,文娱游购开支,饮食游乐费,奶茶钱老哥出,202012
2020/12/27 00:00,账务处理,60,生活必要开支,伙食费,桂林考试伙食预支（已抵扣）,202012
2020/12/22 00:00,账务处理,39.2,生活必要开支,伙食费,4斤琵琶腿,202012
2020/12/22 00:00,账务处理,56,资产类支出,现金储蓄,从钱包里发现56块钱，入账,202012
2020/12/23 00:00,账务处理,49.9,生活必要开支,伙食费,5L 大豆调和油,202012
2020/12/23 00:00,账务处理,15,文娱游购开支,日常购物费,Apple Music 家庭订阅,202012
2020/12/24 00:00,账务处理,0.2,财务费用开支,金融手续费与罚款,微信提现、信用卡还款手续费,202012
2020/12/24 00:00,账务处理,30,负债类减记,账单还款,信用卡还款,202012
2020/12/24 00:00,账务处理,12,其他收入,其他收入,联通满30减12优惠券，用于信用卡还款,202012
2020/12/24 00:00,账务处理,16.8,其他收入,其他收入,四叔给我发了16.8的红包，祝我考研顺利,202012
2020/12/25 00:00,账务处理,4.6,生活必要开支,交通通信费,柳州快9到火车站，桂林k99到客运南站转车,202012
2020/12/25 00:00,账务处理,6,生活必要开支,伙食费,在桂林站买了一瓶绿茶,202012
2020/12/25 00:00,账务处理,-15,生活必要开支,交通通信费,预支费用（已抵扣）,202012
2020/12/25 00:00,账务处理,23,投资自身开支,教育费,从理工大学打车回宾馆，23元,202012
2020/12/25 00:00,账务处理,-54,投资自身开支,教育费,教育费（打车）预支扣除,202012
2020/12/25 00:00,账务处理,0.2,投资自身开支,教育费,滴滴折扣劵,202012
2020/12/15 00:00,账务处理,16,生活必要开支,伙食费,外卖，麻辣烫,202012
2020/12/26 00:00,账务处理,12.3,生活必要开支,伙食费,外卖，焖饭,202012
2020/12/26 00:00,账务处理,9.16,生活必要开支,伙食费,从酒店打车到理工大学，9元（快车+5块钱优惠卷）,202012
2020/12/26 00:00,账务处理,13.01,投资自身开支,教育费,理工大学打车回酒店,202012
2020/12/27 00:00,账务处理,-60,生活必要开支,伙食费,桂林考试伙食预支（已抵扣）,202012
2020/12/26 00:00,账务处理,5,生活必要开支,伙食费,理工大学早餐，二两卤肉粉,202012
2020/12/27 00:00,账务处理,7,文娱游购开支,饮食游乐费,买了一瓶饮料一瓶水,202012
2020/12/27 00:00,账务处理,11,生活必要开支,伙食费,一碗螺蛳粉,202012
2020/12/27 00:00,账务处理,41,其他必要开支,人情费,罗龙宣生日，送了一杯饮料,202012
2020/12/27 00:00,账务处理,1.8,生活必要开支,交通通信费,五路公交车车费,202012
2020/12/27 00:00,账务处理,55,文娱游购开支,饮食游乐费,象鼻山门票,202012
2020/12/27 00:00,账务处理,-0.5,投资自身开支,教育费,回柳车票改签，退0.5元,202012
2020/12/27 00:00,账务处理,2,生活必要开支,伙食费,一瓶水,202012
2020/12/27 00:00,账务处理,1,生活必要开支,交通通信费,柳州车站回家的公交车,202012
2020/12/27 00:00,账务处理,50,资产类支出,应收账款,50块钱转给老哥,202012
2020/12/28 00:00,账务处理,16.1,资产类支出,应收账款,奶奶药品支出,202012
2020/12/28 00:00,账务处理,3100,投资自身开支,教育费,驾校报名,202012
2020/12/28 00:00,账务处理,-3100,投资自身开支,教育费,报名费用妈妈报销,202012
2020/12/28 00:00,账务处理,20,投资自身开支,教育费,驾照体检费,202012
2020/12/28 00:00,账务处理,24.51,生活必要开支,伙食费,鸡蛋、青菜,202012
2020/12/29 00:00,账务处理,97.37,生活必要开支,伙食费,鸡腿、牛腩、两只三黄鸡,202012
2020/12/29 00:00,账务处理,-50,资产类支出,应收账款,老哥还款,202012
2020/12/28 00:00,账务处理,10,投资自身开支,教育费,驾校10张一寸照,202012
2020/12/29 00:00,账务处理,61,文娱游购开支,日常购物费,去华妃家，买了烧烤外卖,202012
2020/12/30 00:00,账务处理,36,其他必要开支,人情费,给宋鑫买了一杯榛果拿铁,202012
2020/12/30 00:00,账务处理,1.2,生活必要开支,其他必要家用,棉签,202012
2020/12/4 00:00,账务处理,682.54,负债类增记,银行借款,信用卡账单分期，年化利率为10.26%,202012
2020/12/4 00:00,账务处理,608.84,负债类增记,银行借款,花呗账单分期，年化利率为15.9%,202012
2020/12/4 00:00,账务处理,924.87,负债类增记,银行借款,花呗账单分期，年化利率为15.9%,202012
2020/12/31 00:00,账务处理,6.24,资产类支出,金融资产投资,尾差调整,202012
2021/1/1 00:00,账务处理,66.62678813,财务费用开支,金融利息支出,本月利息支出(1/9),202101
2021/1/5 00:00,账务处理,66.62678813,财务费用开支,金融利息支出,本月利息支出(1/9),202101
2021/1/8 00:00,账务处理,66.62678813,财务费用开支,金融利息支出,本月利息支出(1/9),202101
2021/1/12 00:00,账务处理,66.62678813,财务费用开支,金融利息支出,本月利息支出(1/9),202101
2021/1/15 00:00,账务处理,66.62678813,财务费用开支,金融利息支出,本月利息支出(1/9),202101
2021/1/19 00:00,账务处理,66.62678813,财务费用开支,金融利息支出,本月利息支出(1/9),202101
2021/1/22 00:00,账务处理,66.62678813,财务费用开支,金融利息支出,本月利息支出(1/9),202101
2021/1/26 00:00,账务处理,66.62678813,财务费用开支,金融利息支出,本月利息支出(1/9),202101
2021/1/31 00:00,账务处理,66.62678813,财务费用开支,金融利息支出,本月利息支出(1/9),202101
2021/1/1 00:00,广发卡,112,投资自身开支,教育费,5月初级会计职称考试报名费，上月支付，本月承担,202101
2021/1/23 00:00,花呗,15,文娱游购开支,日常购物费,APPLE MUSIC 本月订阅费,202101
2021/1/1 00:00,电子钱包余额,6.42,其他收入,其他收入,跨年抢到的红包,202101
2021/1/2 00:00,电子钱包余额,-79,资产类支出,应收账款,老哥还款,202101
2021/1/2 00:00,电子钱包余额,21.4,生活必要开支,伙食费,买菜,202101
2021/1/2 00:00,花呗,8,生活必要开支,伙食费,买菜,202101
2021/1/2 00:00,花呗,15.9,生活必要开支,其他必要家用,烧水壶,202101
2021/1/2 00:00,花呗,130.44,资产类支出,应收账款,爷爷护理用品：纸尿裤、护理垫,202101
2021/1/3 00:00,花呗,80.7,文娱游购开支,饮食游乐费,三张电影票钱跟浪浪、宣宣一起看,202101
2021/1/3 00:00,电子钱包余额,-53.8,文娱游购开支,饮食游乐费,两张电影票AA,202101
2021/1/3 00:00,花呗,7,文娱游购开支,饮食游乐费,电影院元气森林,202101
2021/1/3 00:00,电子钱包余额,8,生活必要开支,伙食费,桂林米粉,202101
2021/1/3 00:00,花呗,10,其他必要开支,人情费,给老哥买的螺蛳粉,202101
2021/1/5 00:00,电子钱包余额,3000,负债类增记,银行借款,美团生活费借款3000,202101
2021/1/5 00:00,电子钱包余额,2680.7,负债类减记,银行借款还款,分期乐本期账单还款,202101
2021/1/5 00:00,电子钱包余额,1,文娱游购开支,饮食游乐费,万达停车费,202101
2021/1/5 00:00,广发卡,3,文娱游购开支,饮食游乐费,移动充电宝,202101
2021/1/5 00:00,广发卡,500,资产类支出,其他资产类支出,谭鸭血充了500块会员卡，得600元,202101
2021/1/5 00:00,账务处理,207,资产类支出,其他资产类支出,谭鸭血储值卡入账,202101
2021/1/5 00:00,账务处理,-241,资产类支出,其他资产类支出,谭鸭血消费，由储值卡支付,202101
2021/1/5 00:00,账务处理,241,文娱游购开支,饮食游乐费,跟林梦华吃谭鸭血火锅,202101
2021/1/6 00:00,电子钱包余额,353,负债类减记,银行借款还款,花呗还款,202101
2021/1/6 00:00,花呗,196,其他必要开支,人情费,林梦华生日礼物，转入2月消费中,202101
2021/1/6 00:00,花呗,-196,其他必要开支,人情费,林梦华生日礼物，转入2月消费中,202101
2021/1/6 00:00,电子钱包余额,-140,生活必要开支,伙食费,老爸报销买米钱,202101
2021/1/6 00:00,电子钱包余额,140,负债类减记,账单还款,还了140元信用卡,202101
2021/1/6 00:00,广发卡,109.9,生活必要开支,伙食费,黄米50斤，香丝苗米贵了，不买了,202101
2021/1/8 00:00,广发卡,37.38,生活必要开支,伙食费,多多买菜,202101
2021/1/8 00:00,电子钱包余额,9.2,生活必要开支,伙食费,东环菜市买菜,202101
2021/1/9 00:00,电子钱包余额,13,生活必要开支,伙食费,东环菜市买菜,202101
2021/1/9 00:00,广发卡,-0.98,生活必要开支,伙食费,多多买菜退款青豆,202101
2021/1/9 00:00,电子钱包余额,3000,负债类增记,银行借款,美团借钱借了3000,202101
2021/1/9 00:00,电子钱包余额,461.28,负债类减记,账单还款,本月信用卡账单还款,202101
2021/1/9 00:00,电子钱包余额,717.27,负债类减记,银行借款还款,花呗账单还款,202101
2021/1/9 00:00,电子钱包余额,358.57,负债类减记,银行借款还款,花呗本期账单还款,202101
2021/1/9 00:00,电子钱包余额,637.03,负债类减记,银行借款还款,网商贷还款,202101
2021/1/10 00:00,电子钱包余额,2.38,财务费用开支,金融手续费与罚款,转账手续费,202101
2021/1/10 00:00,电子钱包余额,2000,其他收入,父母资助,妈妈给的生活费,202101
2021/1/10 00:00,电子钱包余额,3007.5,负债类减记,银行借款还款,5号借的3000元美团借钱，今天还款,202101
2021/1/10 00:00,电子钱包余额,600,负债类增记,银行借款,招联好期贷借款600,202101
2021/1/10 00:00,电子钱包余额,406.51,负债类减记,银行借款还款,招联本期账单还款,202101
2021/1/11 00:00,广发卡,12.5,文娱游购开支,饮食游乐费,11号晚上去吃了一碗螺蛳粉,202101
2021/1/12 00:00,电子钱包余额,5.15,负债类减记,银行借款还款,网商贷1月账单还款,202101
2021/1/13 00:00,花呗,2.5,生活必要开支,伙食费,盐,202101
2021/1/14 00:00,广发卡,2,生活必要开支,伙食费,在菜市买了一个流沙包,202101
2021/1/14 00:00,电子钱包余额,11.1,生活必要开支,伙食费,买菜钱,202101
2021/1/14 00:00,电子钱包余额,35,生活必要开支,必要着装费,剪头发35,202101
2021/1/14 00:00,电子钱包余额,66,其他收入,其他收入,wyj送的生日礼物66块钱红包,202101
2021/1/15 00:00,电子钱包余额,0.18,其他收入,其他收入,红包,202101
2021/1/15 00:00,广发卡,7.01,文娱游购开支,日常购物费,润滑油,202101
2021/1/15 00:00,广发卡,15,生活必要开支,伙食费,螺蛳粉+豆奶,202101
2021/1/15 00:00,电子钱包余额,7,资产类支出,应收账款,帮见云买干捞粉,202101
2021/1/15 00:00,电子钱包余额,-7,资产类支出,应收账款,见云还钱,202101
2021/1/15 00:00,电子钱包余额,1,文娱游购开支,饮食游乐费,停车保管费,202101
2021/1/15 00:00,广发卡,5,文娱游购开支,饮食游乐费,充电宝租赁费,202101
2021/1/15 00:00,电子钱包余额,100,资产类支出,应收账款,老哥借我100元,202101
2021/1/15 00:00,账务处理,-443,资产类支出,其他资产类支出,谭鸭血储值卡支付,202101
2021/1/15 00:00,账务处理,443,文娱游购开支,饮食游乐费,林梦华生日宴，谭鸭血火锅,202101
2021/1/15 00:00,电子钱包余额,-354.4,文娱游购开支,饮食游乐费,谭鸭血aa,202101
2021/1/15 00:00,电子钱包余额,68,文娱游购开支,饮食游乐费,林梦华生日ktv+蛋糕aa费用（李砚云、沈伯荣）,202101
2021/1/15 00:00,账务处理,32,文娱游购开支,饮食游乐费,两杯奶茶，林梦华请客,202101
2021/1/15 00:00,账务处理,-32,文娱游购开支,饮食游乐费,奶茶钱林梦华请客,202101
2021/1/19 00:00,广发卡,12.5,生活必要开支,伙食费,螺蛳粉,202101
2021/1/5 00:00,花呗,139,文娱游购开支,日常购物费,资生堂男士护肤套装,202101
2021/1/21 00:00,广发卡,12.5,生活必要开支,伙食费,螺蛳粉一碗,202101
2021/1/22 00:00,广发卡,46.79,生活必要开支,伙食费,多多买菜,202101
2021/1/22 00:00,广发卡,48.16,生活必要开支,伙食费,面条+鸡腿,202101
2021/1/23 00:00,电子钱包余额,-100,资产类支出,应收账款,老哥还款,202101
2021/1/23 00:00,广发卡,-3.29,生活必要开支,伙食费,青椒退款,202101
2021/1/22 00:00,账务处理,88,其他必要开支,医疗费,洗牙费用,202101
2021/1/22 00:00,账务处理,-88,其他必要开支,人情费,林梦华请我洗牙,202101
2021/1/26 00:00,电子钱包余额,18,生活必要开支,伙食费,螺蛳粉,202101
2021/1/27 00:00,电子钱包余额,1.9,生活必要开支,伙食费,青菜,202101
2021/1/28 00:00,电子钱包余额,0.28,其他收入,其他收入,群里抢红包,202101
2021/1/29 00:00,广发卡,27.98,生活必要开支,伙食费,多多买菜,202101
2021/1/30 00:00,广发卡,11.5,生活必要开支,伙食费,螺蛳粉,202101
2021/2/1 00:00,账务处理,958.95,负债类增记,账单补记,1月信用卡账单补记,202102
2021/2/1 00:00,账务处理,408.54,负债类增记,账单补记,1月花呗账单补记,202102
2021/2/1 00:00,账务处理,59.38031958,财务费用开支,金融利息支出,本月利息支出,202102
2021/2/5 00:00,账务处理,59.38031958,财务费用开支,金融利息支出,本月利息支出,202102
2021/2/8 00:00,账务处理,59.38031958,财务费用开支,金融利息支出,本月利息支出,202102
2021/2/12 00:00,账务处理,59.38031958,财务费用开支,金融利息支出,本月利息支出,202102
2021/2/15 00:00,账务处理,59.38031958,财务费用开支,金融利息支出,本月利息支出,202102
2021/2/19 00:00,账务处理,59.38031958,财务费用开支,金融利息支出,本月利息支出,202102
2021/2/22 00:00,账务处理,59.38031958,财务费用开支,金融利息支出,本月利息支出,202102
2021/2/26 00:00,账务处理,59.38031958,财务费用开支,金融利息支出,本月利息支出,202102
2021/2/28 00:00,账务处理,59.38031958,财务费用开支,金融利息支出,本月利息支出,202102
2021/2/20 00:00,花呗,15,文娱游购开支,日常购物费,APPLE MUSIC 订阅费,202102
2021/1/5 00:00,花呗,57,其他必要开支,人情费,林梦华生日礼物（资生堂护手霜）,202102
2021/2/2 00:00,电子钱包余额,370,投资自身开支,教育费,考试场地费，交给了陈教练,202102
2021/2/2 00:00,广发卡,30.51,生活必要开支,伙食费,多多买菜，买了一些水果,202102
2021/2/2 00:00,广发卡,95.6,生活必要开支,伙食费,鸡腿、油、油麦菜,202102
2021/2/4 00:00,广发卡,10.5,生活必要开支,伙食费,刘伯娘米粉,202102
2021/2/4 00:00,广发卡,15,文娱游购开支,饮食游乐费,螺蛳粉,202102
2021/2/5 00:00,广发卡,2,生活必要开支,伙食费,一个肉包子,202102
2021/2/5 00:00,电子钱包余额,15.6,生活必要开支,伙食费,东环菜市买菜,202102
2021/2/5 00:00,广发卡,31,文娱游购开支,饮食游乐费,螺蛳粉+鸭脚+猪肺,202102
2021/2/5 00:00,花呗,54.3,文娱游购开支,饮食游乐费,kfc,202102
2021/2/6 00:00,广发卡,50,生活必要开支,交通通信费,话费,202102
2021/2/5 00:00,电子钱包余额,3000,负债类增记,银行借款,招联借款，费率4.5%%,202102
2021/2/6 00:00,电子钱包余额,2670.98,负债类减记,银行借款还款,分期乐还款,202102
2021/2/6 00:00,电子钱包余额,2.7,财务费用开支,金融手续费与罚款,分期乐逾期一天罚款,202102
2021/2/6 00:00,电子钱包余额,-60,文娱游购开支,饮食游乐费,kfc林梦华报销,202102
2021/2/7 00:00,花呗,8.5,生活必要开支,伙食费,早餐,202102
2021/2/7 00:00,电子钱包余额,6,生活必要开支,伙食费,青椒、菜花,202102
2021/2/7 00:00,花呗,20,生活必要开支,伙食费,生抽，米醋,202102
2021/2/7 00:00,花呗,10.4,文娱游购开支,饮食游乐费,零食,202102
2021/2/7 00:00,广发卡,36.13,生活必要开支,伙食费,鸡腿、鸡蛋、西红柿,202102
2021/2/8 00:00,电子钱包余额,40,资产类支出,应收账款,对联、核桃，老哥报销,202102
2021/2/8 00:00,花呗,46,资产类支出,应收账款,烧鸭，老哥报销,202102
2021/2/8 00:00,电子钱包余额,35,生活必要开支,必要着装费,剪头发35元,202102
2021/2/8 00:00,电子钱包余额,13.6,生活必要开支,伙食费,黄瓜、配菜,202102
2021/2/8 00:00,电子钱包余额,2000,其他收入,父母资助,妈妈给本月生活费2000元,202102
